customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,City,SignupDate,Churn
CUST-1222,male,0,NO,Yes,56.0,Yes,No,No,,no,Bank transfer,116.1,6617.04,Bengaluru,19-03-2019,Yes
CUST-1595,Male,0,No,No,34.0,Yes,No phone service,Fiber optic,,Yes,Credit card,55.26,1885.09,,31-03-2021,No
CUST-1216,Male,0,Yes,No,28.0,Yes,No,Fiber optic,Month-to-month,No,Electronic check,40.02,1105.83,Delhi,07-03-2019,No
CUST-1179,FEMALE,0,yes,No,38.0,No,No phone service,DSL,One year,No,Bank transfer,61.73,2439.44,Delhi,23-12-2018,NO
CUST-1507,FEMALE,0,Yes,No,9.0,Yes,No phone service,DSL,Two year,YES,Electronic check,30.98,270.03,Delhi,07-10-2020,No
CUST-2077,Female,1,No,Yes,46.0,Yes,No phone service,,One year,No,Electronic check,39.82,1925.41,Delhi,17-11-2023,1
CUST-1263,Male,0,No,Yes,,yes,No,Fiber optic,Two year,No,Electronic check,77.28,0.0,MUMBAI,09-06-2019,No
CUST-1587,Female,0,No,N,62.0,yes,No,,Two year,Yes,Mailed check,81.09,5103.12,Delhi,15-03-2021,1
CUST-1374,Male,0,No,N,31.0,No,Yes,,Month-to-month,YES,Mailed check,96.5,2760.29,Hyderabad,16-01-2020,No
CUST-1284,male,nan,NO,,30.0,no,No phone service,DSL,Two year,Yes,Electronic check,33.48,1134.5,Chennai,20-07-2019,No
CUST-1113,male,1,Yes,Yes,10.0,yes,,No,Two year,Yes, Electronic check,74.38,750.54,MUMBAI,14-08-2018,1
CUST-1611,male,1,NO,No,21.0,Yes,Yes,dsl,Month-to-month,Yes,Credit card,37.81,889.13,Mumbai,02-05-2021,yes
CUST-1389, Male,0,No,No,15.0,No,Yes,,Two year,Yes,Bank transfer,46.44,699.37,MUMBAI,15-02-2020,Yes
CUST-1186,Female,1,,Y,54.0,yes,No,Fiber optic,One year,No,Mailed check,75.58,4101.6,Bengaluru,06-01-2019,No
CUST-1770,Male,0,No,No,69.0,Yes,Yes,Fiber optic,Two year,No,Electronic check,29.51,1965.63,Hyderabad,15-03-2022,Yes
CUST-1360, Male,0,yes,Yes,49.0,No,No,Fiber optic,Two year,No,Credit card,41.27,1859.72,,19-12-2019,No
CUST-1663,Male,0,Yes,No,66.0,Yes,No,No,Month-to-month,No,Credit card,107.56,7387.67,bengaluru,14-08-2021,NO
CUST-1508,Female,1,Yes,,48.0,yes,,DSL,One year,No, Electronic check,100.08,4796.83,bengaluru,09-10-2020,1
CUST-1833,male,1,Yes,No,17.0,Yes,No,No,month-to-month,No,Electronic check,44.34,720.2,MUMBAI,18-07-2022,NO
CUST-1259,male,0,No,No,40.0,No,No,No,One year,No,Bank transfer,53.5,2142.97,Chennai,01-06-2019,No
CUST-1662,Male,0,No,Y,29.0,Yes,No,DSL,One year,no,Electronic check,90.71,2525.96,Delhi,12-08-2021,1
CUST-1403,Male,1,NO,Y,67.0,no,,Fiber optic,month-to-month,no,Electronic check,53.66,3546.58,Chennai,14-03-2020,NO
CUST-1713, Male,0,yes,Yes,30.0,Yes,Yes,Fiber optic,Two year,Yes,Electronic check,86.08,2644.0,Bengaluru,21-11-2021,Yes
CUST-2075,Female,0,NO,Yes,52.0,Yes,No,DSL,One year,No,Bank transfer,57.34,3053.49,Bengaluru,13-11-2023,Yes
CUST-1418,Male,0,NO,,7.0,No,No phone service,dsl,One year,Yes,Electronic check,85.88,606.43,Hyderabad,12-04-2020,yes
CUST-1205,Male,nan,Yes,No,45.0,No,,DSL,,Yes,Bank transfer,42.76,1853.96,bengaluru,13-02-2019,yes
CUST-1326,FEMALE,0,,N,63.0,Yes,No,DSL,Two year,YES,Mailed check,35.5,2171.54,MUMBAI,12-10-2019,Yes
CUST-1023, Male,0,Yes,N,3.0,Yes,No,No,,No,Credit card,64.19,194.09,Mumbai,15-02-2018,NO
CUST-1325,male,1,Yes,No,20.0,Yes,No phone service,Fiber optic,Two year,No,Bank transfer,15.0,272.72,Delhi,10-10-2019,NO
CUST-1482,male,1,Yes,,9.0,No,No,No,One year,Yes,Bank transfer,64.45,597.74,Chennai,18-08-2020,Yes
CUST-1099,,0,yes,No,1.0,Yes,No phone service,,Month-to-month,Yes,Credit card,41.55,43.2,Bengaluru,17-07-2018,No
CUST-1879,male,0,Yes,N,11.0,Yes,No,DSL,Month-to-month,No,,52.91,603.79,Bengaluru,18-10-2022,No
CUST-1851,Male,0,Yes,No,29.0,No,No,Fiber optic,Two year,Yes,Mailed check,62.45,1784.93,MUMBAI,23-08-2022,Yes
CUST-1357,FEMALE,1,Yes,No,35.0,No,No phone service,,Month-to-month,No,Credit card,63.61,2234.7,Chennai,13-12-2019,No
CUST-1871,Male,nan,,Y,60.0,No,No,Fiber optic,Month-to-month,No,,29.28,1742.37,MUMBAI,02-10-2022,No
CUST-1697,male,0,Yes,No,63.0,No,Yes,No,month-to-month,no, Electronic check,61.48,3953.29,Chennai,20-10-2021,1
CUST-1882, Male,1,yes,Y,32.0,Yes,No,DSL,Month-to-month,YES,Bank transfer,64.99,2159.89,Mumbai,24-10-2022,No
CUST-1799,FEMALE,0,Yes,,55.0,No,,DSL,Month-to-month,Yes,Mailed check,55.35, ,Chennai,12-05-2022,No
CUST-1799,FEMALE,0,Yes,,55.0,No,,DSL,Month-to-month,Yes,Mailed check,55.35, ,Chennai,12-05-2022,No
CUST-1642,Male,0,No,Yes,13.0,Yes,No phone service,fiber optic,Month-to-month,YES,Electronic check,48.3,686.63,Mumbai,03-07-2021,yes
CUST-1658,male,nan,yes,Yes,56.0,No,Yes,DSL,Two year,Yes,Electronic check,60.96,3457.63,Mumbai,04-08-2021,Yes
CUST-1317,male,0,Yes,Yes,1.0,Yes,No,Fiber optic,,Yes,Electronic check,88.58,94.27,Bengaluru,24-09-2019,NO
CUST-1728,Female,nan,No,No,11.0,Yes,No,,,Yes,Electronic check,179.88,1905.98,Delhi,21-12-2021,yes
CUST-1316,Female,0,Yes,No,28.0,No,Yes,DSL,Month-to-month,no,Bank transfer,97.56,2517.76,Hyderabad,22-09-2019,No
CUST-1704,Female,0,No,No,2.0,No,No,Fiber optic,month-to-month,No,Mailed check,85.82,162.55,Mumbai,03-11-2021,No
CUST-1070,Male,1,yes,N,0.0,No,No,Fiber optic,Two year,Yes,Mailed check,92.32,0.0,Hyderabad,20-05-2018,yes
CUST-1278, Male,0,No,Y,7.0,Yes,No phone service,,One year,Yes,Bank transfer,93.30000000000001,650.26,Bengaluru,08-07-2019,No
CUST-1452,FEMALE,0,NO,No,20.0,no,No,No,Two year,YES,Mailed check,58.83,1126.44,Delhi,19-06-2020,No
CUST-1270,Male,0,No,N,8.0,No,No,No,Two year,No,Credit card,103.9,807.08,Bengaluru,23-06-2019,yes
CUST-1531,FEMALE,1,Yes,No,29.0,Yes,No phone service,dsl,Two year,No,Mailed check,44.36, ,bengaluru,24-11-2020,Yes
CUST-1040,Female,1,Yes,No,20.0,Yes,Yes,DSL,Two year,Yes,,30.91,635.23,Delhi,21-03-2018,Yes
CUST-1109, Male,1,NO,Yes,38.0,No,No,,One year,Yes,Mailed check,84.53,3227.07,bengaluru,06-08-2018,No
CUST-1318,Female,1,No,No,26.0,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer,61.45,1709.69,,26-09-2019,No
CUST-1931,Female,0,,Yes,8.0,No,Yes,Fiber optic,,No,Bank transfer,43.56,331.73,Hyderabad,30-01-2023,No
CUST-1955, Male,0,No,Yes,49.0,No,Yes,DSL,One year,no,Electronic check,100.64,5579.65,Hyderabad,19-03-2023,No
CUST-1285,Female,0,No,N,72.0,yes,Yes,fiber optic,,no,Mailed check,46.22,3214.66,Bengaluru,22-07-2019,NO
CUST-1171,Female,1,No,No,,No,Yes,DSL,month-to-month,No,Credit card,79.07,0.0,Chennai,07-12-2018,No
CUST-1412,Male,0,No,,68.0,No,No,Fiber optic,Month-to-month,Yes,Electronic check,48.36,3200.1,,01-04-2020,No
CUST-1758,Male,0,Yes,No,56.0,No,No,No,Month-to-month,No,Credit card,104.39,5638.46,Hyderabad,19-02-2022,0
CUST-1569,Female,1,,No,72.0,yes,No,,Month-to-month,No,Credit card,41.4,3151.33,,07-02-2021,NO
CUST-1889,male,0,,No,28.0,No,Yes,Fiber optic,,Yes,Electronic check,60.2,1679.13,Delhi,07-11-2022,NO
CUST-2058,Female,1,No,No,26.0,No,No phone service,,Two year,No,Mailed check,91.54,2418.17,,10-10-2023,No
CUST-1220,Female,0,Yes,No,54.0,Yes,No,,One year,No,,41.75,2182.83,,15-03-2019,No
CUST-1657,Female,nan,No,,44.0,Yes,Yes,No,Two year,No,Electronic check,42.13, ,Delhi,02-08-2021,No
CUST-2093,Male,0,No,Y,43.0,yes,No,Fiber optic,Month-to-month,YES,Bank transfer,45.29,1741.67,MUMBAI,19-12-2023,No
CUST-1146,Female,0,NO,Y,5.0,Yes,No phone service,Fiber optic,month-to-month,no,,15.07,76.26,Mumbai,18-10-2018,NO
CUST-1430, Male,0,Yes,,40.0,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,70.4,2872.83,Mumbai,06-05-2020,No
CUST-1556,Female,0,NO,N,51.0,No,Yes,fiber optic,Month-to-month,YES,Credit card,89.47,4608.64,Bengaluru,12-01-2021,1
CUST-2096,Male,0,NO,Yes,58.0,No,No,Fiber optic,One year,YES,Mailed check,33.34,1917.84,Chennai,25-12-2023,No
CUST-1937,Male,0,Yes,N,32.0,Yes,No,DSL,Two year,No,Electronic check,63.0,1844.19,Mumbai,11-02-2023,No
CUST-1038,Male,0,No,No,49.0,No,Yes,No,month-to-month,No, Electronic check,84.83,4218.17,Mumbai,17-03-2018,No
CUST-1872,,0,NO,,64.0,No,No,No,Month-to-month,Yes,Electronic check,101.55,6300.46,Bengaluru,04-10-2022,yes
CUST-1855,Female,nan,No,Yes,30.0,Yes,No,Fiber optic,,Yes,Electronic check,38.38,1196.68,MUMBAI,31-08-2022,No
CUST-2091,male,0,yes,N,58.0,Yes,,fiber optic,Month-to-month,No,Electronic check,59.89,3084.01,,15-12-2023,No
CUST-1297,FEMALE,nan,Yes,N,52.0,Yes,No phone service,fiber optic,Month-to-month,Yes,Electronic check,67.95,3334.01,,15-08-2019,No
CUST-1558,male,1,yes,Y,57.0,No,No,fiber optic,Two year,Yes,Bank transfer,21.9,1344.83,Delhi,16-01-2021,No
CUST-1013,FEMALE,nan,No,No,67.0,No,Yes,No,Month-to-month,No,Credit card,20.02,1303.49,Chennai,26-01-2018,No
CUST-1685,Female,1,Yes,Yes,,yes,No,DSL,Month-to-month,no,Credit card,26.14,0.0,Bengaluru,27-09-2021,Yes
CUST-1769,male,1,Yes,Yes,70.0,No,No,No,,Yes,Electronic check,54.13,3780.0,bengaluru,13-03-2022,NO
CUST-1513,Female,1,Yes,Yes,64.0,Yes,No,No,One year,no, Electronic check,15.0,988.41,Hyderabad,19-10-2020,No
CUST-1603,FEMALE,0,No,No,32.0,No,No,DSL,Month-to-month,Yes,Bank transfer,39.79,1346.34,Chennai,16-04-2021,Yes
CUST-1487,Male,0,yes,Yes,2.0,Yes,No,Fiber optic,Two year,Yes,Mailed check,65.26,128.91,bengaluru,28-08-2020,yes
CUST-1474,Male,0,No,N,4.0,No,No,Fiber optic,One year,Yes,Electronic check,56.21,222.71,,02-08-2020,No
CUST-1493,Female,1,,Yes,67.0,no,,,Month-to-month,Yes,Bank transfer,54.15,3839.77,Mumbai,09-09-2020,0
CUST-1472,Male,0,No,Y,62.0,Yes,No phone service,DSL,Month-to-month,No,Bank transfer,48.61,3076.09,Mumbai,29-07-2020,No
CUST-1927, Male,1,Yes,Yes,56.0,Yes,No phone service,No,Month-to-month,no,Bank transfer,99.49,5366.43,bengaluru,22-01-2023,yes
CUST-1970,Male,1,,,9.0,No,No phone service,dsl,One year,No,Electronic check,54.91,495.1,Mumbai,17-04-2023,NO
CUST-1060,male,0,yes,No,70.0,Yes,No phone service,dsl,Two year,No,Bank transfer,43.68,2873.82,Hyderabad,30-04-2018,No
CUST-1110,Female,0,,Y,17.0,No,No phone service,No,One year,Yes,Electronic check,50.61,906.72,Chennai,08-08-2018,Yes
CUST-1004,Male,0,No,Y,37.0,Yes,Yes,Fiber optic,Two year,No,Electronic check,71.07,2786.99,Hyderabad,08-01-2018,Yes
CUST-1915,,0,yes,Yes,46.0,Yes,,DSL,,No,Bank transfer,39.01,1732.27,Hyderabad,29-12-2022,Yes
CUST-1500,FEMALE,nan,yes,Yes,14.0,yes,Yes,Fiber optic,Two year,No,Electronic check,32.55,442.43,Hyderabad,23-09-2020,No
CUST-1943,Female,nan,Yes,No,17.0,Yes,No phone service,Fiber optic,Month-to-month,YES, Electronic check,65.68,1121.95,Bengaluru,23-02-2023,Yes
CUST-2073, Male,0,yes,Yes,26.0,yes,Yes,No,Month-to-month,No,Bank transfer,85.01,2168.97,Mumbai,09-11-2023,Yes
CUST-1328,male,0,NO,No,7.0,Yes,No,No,Month-to-month,Yes,Electronic check,65.75,455.44,MUMBAI,16-10-2019,yes
CUST-1828, Male,0,yes,N,48.0,No,No phone service,DSL,One year,No,Electronic check,63.39,2939.17,,08-07-2022,yes
CUST-1094,Female,1,Yes,Y,36.0,Yes,Yes,No,One year,no,Credit card,49.34,1760.15,Hyderabad,07-07-2018,yes
CUST-1956,FEMALE,nan,Yes,Yes,23.0,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,40.35,937.16,Bengaluru,21-03-2023,Yes
CUST-1694, Male,nan,,Yes,42.0,yes,No,DSL,One year,No,Electronic check,59.08,2375.45,bengaluru,14-10-2021,Yes
CUST-1471,Female,0,No,,3.0,No,Yes,fiber optic,Month-to-month,No,Bank transfer,40.77,121.72,Delhi,27-07-2020,Yes
CUST-2063,male,1,No,,45.0,No,No,DSL,Month-to-month,Yes,Bank transfer,46.85,2237.29,,20-10-2023,NO
CUST-1372,Female,0,NO,No,5.0,Yes,No,dsl,One year,Yes,Credit card,105.56,516.56,Chennai,12-01-2020,1
CUST-1781, Male,0,Yes,No,35.0,No,Yes,dsl,One year,YES,Credit card,43.27,1592.64,Bengaluru,06-04-2022,1
CUST-1867,FEMALE,1,Yes,No,54.0,Yes,No,No,,Yes,Electronic check,82.26,4167.89,Mumbai,24-09-2022,Yes
CUST-1058,Male,1,Yes,Y,20.0,Yes,No,Fiber optic,month-to-month,No,Electronic check,47.55,988.09,MUMBAI,26-04-2018,No
CUST-1319,,nan,Yes,,51.0,No,No phone service,No,One year,Yes,Bank transfer,15.0,730.34,Hyderabad,28-09-2019,No
CUST-1582,Male,0,yes,Y,53.0,Yes,Yes,,One year,Yes,Mailed check,95.51,5233.51,Chennai,05-03-2021,No
CUST-1024,FEMALE,1,NO,No,52.0,Yes,Yes,Fiber optic,month-to-month,Yes,Bank transfer,26.58,1397.77,Delhi,17-02-2018,No
CUST-1294, Male,1,NO,Yes,15.0,no,No phone service,Fiber optic,One year,No,Mailed check,116.97,1842.04,Bengaluru,09-08-2019,yes
CUST-1170,Female,nan,No,No,44.0,Yes,No,No,,Yes,Credit card,92.93,4055.53,Chennai,05-12-2018,No
CUST-1832,Female,0,Yes,No,16.0,Yes,Yes,Fiber optic,Two year,Yes,Credit card,49.41,820.17,Bengaluru,16-07-2022,Yes
CUST-1025,Male,0,Yes,N,54.0,No,No,fiber optic,Month-to-month,Yes,Credit card,67.8,3428.4,Hyderabad,19-02-2018,Yes
CUST-1712,FEMALE,0,No,,34.0,yes,No,,,Yes,Electronic check,90.24,2846.64,Hyderabad,19-11-2021,No
CUST-2013,,0,No,N,64.0,yes,Yes,DSL,Month-to-month,YES,Mailed check,73.6,4760.01,Hyderabad,12-07-2023,No
CUST-1986,Female,1,yes,,38.0,No,No,No,,Yes,Electronic check,68.74,2738.17,Chennai,19-05-2023,No
CUST-1878,male,0,yes,Y,60.0,No,Yes,,One year,Yes,Bank transfer,80.41,5332.46,Delhi,16-10-2022,yes
CUST-1812,,nan,NO,N,5.0,No,No,DSL,One year,No,Credit card,58.9,298.83,Bengaluru,07-06-2022,No
CUST-1130,Male,0,No,No,63.0,No,No,dsl,,YES,Mailed check,15.0,983.77,Chennai,17-09-2018,No
CUST-1153,Female,0,No,Yes,39.0,yes,No,,Month-to-month,Yes,Mailed check,112.4,4324.0,,01-11-2018,No
CUST-1958,Female,0,,,64.0,Yes,,No,Month-to-month,Yes,Mailed check,48.53,3165.13,Bengaluru,25-03-2023,No
CUST-1609,Female,0,Yes,N,9.0,No,Yes,No,Month-to-month,No,Credit card,57.18,538.69,MUMBAI,28-04-2021,Yes
CUST-1813,male,0,yes,No,-1.0,Yes,,,,YES,Bank transfer,52.81,-48.83,,09-06-2022,yes
CUST-1489,male,0,No,Y,19.0,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,22.3,411.33,Bengaluru,01-09-2020,Yes
CUST-1098,Male,0,Yes,Y,53.0,no,Yes,,Month-to-month,No,Mailed check,15.0,750.78,Chennai,15-07-2018,NO
CUST-1063,FEMALE,0,Yes,No,65.0,no,No phone service,No,Month-to-month,Yes,Bank transfer,79.1,4817.83,Delhi,06-05-2018,No
CUST-1075,Female,0,Yes,No,17.0,Yes,No,dsl,,Yes,Bank transfer,40.49,687.49,Hyderabad,30-05-2018,NO
CUST-1684,male,0,No,No,33.0,No,No,DSL,month-to-month,No,Electronic check,30.26,907.81,Chennai,25-09-2021,Yes
CUST-1885,Female,nan,No,N,20.0,Yes,No,Fiber optic,Two year,YES,Mailed check,15.0,312.24,,30-10-2022,NO
CUST-1845, Male,nan,,No,48.0,Yes,No phone service,Fiber optic,Two year,YES,,50.29,2426.66,Bengaluru,11-08-2022,No
CUST-2031,FEMALE,0,Yes,,59.0,yes,No,No,Month-to-month,Yes,Mailed check,26.24,1533.58,Chennai,17-08-2023,NO
CUST-1462,,1,No,Yes,11.0,No,No phone service,Fiber optic,Two year,Yes,Mailed check,102.3,1089.52,Hyderabad,09-07-2020,No
CUST-1305,Female,0,Yes,Yes,0.0,Yes,No,,Month-to-month,Yes,Credit card,99.81,0.0,Bengaluru,31-08-2019,yes
CUST-1449,male,0,NO,Yes,7.0,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,82.73,587.05,MUMBAI,13-06-2020,No
CUST-1954,,0,Yes,N,41.0,No,No,Fiber optic,Month-to-month,YES,Mailed check,15.0,594.74,Bengaluru,17-03-2023,No
CUST-1968,Female,0,Yes,N,51.0,Yes,Yes,No,month-to-month,No,Credit card,44.64,2235.18,Bengaluru,13-04-2023,NO
CUST-1134,male,0,No,Yes,26.0,No,No,DSL,Month-to-month,no,Bank transfer,42.76,1135.47,Hyderabad,25-09-2018,No
CUST-1358,Female,nan,No,N,43.0,Yes,Yes,Fiber optic,Month-to-month,YES,Electronic check,66.31,3205.38,Mumbai,15-12-2019,NO
CUST-1308,Male,1,No,Yes,25.0,No,No,dsl,Month-to-month,No,Electronic check,56.58,1309.09,Bengaluru,06-09-2019,No
CUST-1244,male,nan,No,No,69.0,yes,No,dsl,Two year,YES,Bank transfer,58.26,3986.5,Mumbai,02-05-2019,No
CUST-1422,Male,1,Yes,N,31.0,Yes,No,Fiber optic,Month-to-month,No,Credit card,108.97,3405.39,Mumbai,20-04-2020,No
CUST-1003,male,1,Yes,,54.0,Yes,No phone service,No,Month-to-month,Yes,Bank transfer,30.18,1656.76,Delhi,06-01-2018,NO
CUST-1196,male,0,Yes,Y,15.0,Yes,No,,month-to-month,Yes,Credit card,62.23,960.89,Bengaluru,26-01-2019,Yes
